
Resultados por comunidades y ciudades autónomas
Formación Bruta de Capital Fijo por comunidades y ciudades autónomas, ramas de actividad y periodo.
Unidades: miles de euros y porcentajes

,2007 (P),2006,2005,2004,2003,2002,2001,2000,
Andalucía,
    FORMACIÓN BRUTA DE CAPITAL FIJO,49.006.029,44.781.549,39.196.595,33.906.732,29.135.463,25.870.388,23.308.935,20.879.331,
    Agricultura, ganadería y pesca,864.554,869.686,902.726,917.205,848.502,814.578,812.188,739.862,
    AA  Agricultura, ganadería, caza y selvicultura,832.929,832.111,866.465,875.843,804.437,771.787,766.954,706.924,
    BB  Pesca,31.625,37.575,36.261,41.362,44.065,42.791,45.234,32.938,
    Energía,1.484.379,1.835.386,1.501.569,1.492.306,922.782,874.218,794.804,817.185,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,409.595,424.701,323.148,283.932,201.109,208.350,166.780,177.980,
    EE  Energía eléctrica, gas y agua,1.074.784,1.410.685,1.178.421,1.208.374,721.673,665.868,628.024,639.205,
    Industria,2.352.209,2.085.612,2.174.566,1.878.758,1.547.746,1.538.545,1.531.297,1.397.471,
    Construcción,1.793.598,1.818.837,1.319.394,1.162.855,935.609,782.520,750.676,715.704,
    FF  Construcción,1.793.598,1.818.837,1.319.394,1.162.855,935.609,782.520,750.676,715.704,
    Servicios,42.511.289,38.172.028,33.298.340,28.455.608,24.880.824,21.860.527,19.419.970,17.209.109,
    GG  Comercio y reparación,2.462.608,2.219.416,2.156.613,2.372.683,1.910.993,1.791.091,1.644.533,1.541.931,
    HH  Hostelería,1.277.008,1.101.793,1.051.362,1.058.855,960.172,928.088,905.082,762.100,
    II  Transporte y comunicaciones,4.190.046,3.556.753,3.470.237,2.691.813,2.818.500,2.685.344,2.401.096,2.502.710,
    JJ  Intermediación financiera,682.538,862.253,582.281,593.957,490.469,335.544,438.528,232.441,
    KK  Inmobiliarias y servicios empresariales,24.458.834,22.475.279,19.704.240,15.901.766,13.413.589,11.355.830,9.619.201,7.981.284,
    LL  Administración pública,5.008.964,3.926.846,3.273.243,3.313.783,2.841.094,2.576.011,2.379.372,2.336.172,
    MM  Educación,846.106,509.931,544.439,420.324,359.705,301.694,278.184,288.206,
    NN  Actividades sanitarias y veterinarias servicios sociales,895.193,838.207,571.215,470.960,449.605,410.526,435.537,347.155,
    OO  Otros servicios y actividades sociales servicios personales,2.689.992,2.681.550,1.944.710,1.631.467,1.636.697,1.476.399,1.318.437,1.217.110,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,49.006.029,44.781.549,39.196.595,33.906.732,29.135.463,25.870.388,23.308.935,20.879.331,
Aragón,
    FORMACIÓN BRUTA DE CAPITAL FIJO,9.951.872,9.284.684,8.185.945,7.615.214,7.210.178,6.610.964,6.199.290,5.788.875,
    Agricultura, ganadería y pesca,349.337,339.096,409.243,435.976,393.373,373.473,374.991,384.392,
    AA  Agricultura, ganadería, caza y selvicultura,..,..,..,..,..,..,..,..,
    BB  Pesca,..,..,..,..,..,..,..,..,
    Energía,402.012,435.500,270.566,347.843,267.757,252.796,192.748,167.811,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,55.242,42.089,-11.183,27.888,34.935,35.421,26.004,22.119,
    EE  Energía eléctrica, gas y agua,346.770,393.411,281.749,319.955,232.822,217.375,166.744,145.692,
    Industria,1.504.009,1.543.061,1.161.889,1.110.628,1.281.954,1.252.824,1.242.546,1.205.092,
    Construcción,407.984,365.868,258.908,233.407,164.049,143.949,146.558,146.660,
